i,x,y,x²,xy
1,649.0,26.05,421201.0,16906.45
2,665.0,30.05,442225.0,19983.25
3,684.8,28.91,468951.04,19797.568
4,713.0,31.22,508369.0,22259.86
Σ,2711.8,116.23,1840746.04,78947.128
